num_train_epochs,learning_rate,weight_decay,eval_loss
2,0.0001,0.1,0.3031902313232422
3,0.0001,0.1,0.3062463283538818
5,1e-05,0.01,0.4008035182952881
5,1e-05,0.5,0.4114251196384429
4,1e-05,0.1,0.451626980304718
4,1e-05,0.05,0.4852469503879547
3,1e-05,0.01,0.6908135652542114
2,0.001,0.01,1.1003119468688964
2,0.001,0.5,1.1022325038909913
2,0.001,0.1,1.1026675939559936
3,0.001,0.05,1.1130882501602173
3,0.001,0.5,1.116228437423706
4,0.01,0.05,1.1233707666397097
4,0.01,0.01,1.123881030082703
3,0.01,0.5,1.1270022630691527
